Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,84.190002,84.440002,83.959999,84.320000,71.854065,1285300
2013-05-14,84.400002,85.250000,84.400002,85.190002,72.595436,1440100
2013-05-15,85.059998,85.790001,85.019997,85.559998,72.910736,2743600
2013-05-16,85.529999,85.760002,85.099998,85.209999,72.612503,2006200
2013-05-17,85.570000,86.089996,85.459999,86.080002,73.353889,1540200
2013-05-20,86.010002,86.389999,85.900002,86.070000,73.345337,1680900
2013-05-21,86.139999,86.480003,85.860001,86.209999,73.464645,1483200
2013-05-22,86.279999,87.089996,85.000000,85.360001,72.740311,3378000
2013-05-23,84.489998,85.370003,84.320000,85.199997,72.603951,2748400
2013-05-24,84.660004,85.099998,84.379997,85.089996,72.510223,1151700
2013-05-28,86.029999,86.419998,85.339996,85.639999,72.978928,2120900
2013-05-29,85.199997,85.320000,84.570000,85.059998,72.484688,2420800
2013-05-30,85.160004,85.769997,85.080002,85.410004,72.782928,1630000
2013-05-31,85.180000,85.650002,84.199997,84.269997,71.811478,2005100
2013-06-03,84.449997,84.660004,83.739998,84.610001,72.101196,3620100
2013-06-04,84.720001,84.989998,83.769997,84.199997,71.751816,2311900
2013-06-05,83.989998,84.110001,82.940002,83.010002,70.737724,2944800
2013-06-06,82.989998,83.800003,82.529999,83.790001,71.402412,2633900
2013-06-07,84.349998,84.900002,83.970001,84.830002,72.288666,2391500
2013-06-10,85.150002,85.160004,84.610001,84.860001,72.314224,3643600
2013-06-11,84.099998,84.720001,83.769997,84.000000,71.581360,2102200
2013-06-12,84.580002,84.629997,83.190002,83.290001,70.976357,2568400
2013-06-13,83.220001,84.720001,83.029999,84.580002,72.075623,4100100
2013-06-14,84.489998,84.809998,83.930000,84.099998,71.666573,1653500
2013-06-17,84.669998,85.059998,84.260002,84.690002,72.169395,2416900
2013-06-18,84.790001,85.519997,84.790001,85.330002,72.714737,2095100
2013-06-19,85.190002,85.470001,84.209999,84.239998,71.785896,4448100
2013-06-20,83.470001,83.470001,81.900002,82.150002,70.004883,4933200
2013-06-21,82.629997,82.779999,81.470001,82.360001,70.183830,4227700
2013-06-24,81.110001,81.610001,80.190002,80.919998,69.281425,5378400
2013-06-25,81.660004,81.989998,81.110001,81.730003,69.974937,2625000
2013-06-26,82.400002,82.690002,82.050003,82.489998,70.625603,2496900
2013-06-27,83.019997,83.400002,82.989998,83.099998,71.147873,2211600
2013-06-28,82.930000,83.309998,82.510002,82.669998,70.779747,3023200
2013-07-01,83.290001,83.940002,83.110001,83.360001,71.370468,2097000
2013-07-02,83.330002,83.889999,82.940002,83.269997,71.293411,1958500
2013-07-03,82.989998,83.589996,82.830002,83.389999,71.396156,1004800
2013-07-05,84.019997,84.300003,83.330002,84.279999,72.158195,2434000
2013-07-08,84.709999,84.959999,84.559998,84.730003,72.543457,1972700
2013-07-09,85.230003,85.459999,84.879997,85.330002,73.057137,2229900
2013-07-10,85.290001,85.629997,85.120003,85.370003,73.091377,4399500
2013-07-11,86.430000,86.639999,86.110001,86.610001,74.153038,3560300
2013-07-12,86.540001,86.830002,86.440002,86.690002,74.221550,2141400
2013-07-15,86.910004,87.110001,86.730003,87.019997,74.504097,2340200
2013-07-16,87.070000,87.099998,86.419998,86.629997,74.170166,1637900
2013-07-17,87.010002,87.129997,86.760002,86.910004,74.409912,1718700
2013-07-18,87.089996,87.589996,87.010002,87.400002,74.829430,2100100
2013-07-19,87.199997,87.529999,87.099998,87.529999,74.940735,1604300
2013-07-22,87.690002,87.820000,87.470001,87.720001,75.103401,2121000
2013-07-23,87.930000,88.000000,87.510002,87.559998,74.966393,1915200
2013-07-24,87.949997,87.989998,87.029999,87.209999,74.666733,2997600
2013-07-25,87.000000,87.570000,86.949997,87.529999,74.940735,1781800
2013-07-26,87.230003,87.570000,86.790001,87.540001,74.949257,1845100
2013-07-29,87.419998,87.570000,87.019997,87.239998,74.692444,1681800
